taxon	sequenceID	name	genus	scaffold	identity	bitscore	host_species	host_genus	host_family	host_order	host_major_clade	host_middle_clade	host_minor_clade
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_4963	Nannopterum_brasilianus_4963	Nannopterum_brasilianus_4963	Avihepadnavirus	NFME01023235.1	92.553	149	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_4970	Nannopterum_brasilianus_4970	Nannopterum_brasilianus_4970	Avihepadnavirus	NFME01000289.1	90.625	125	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_4975	Nannopterum_brasilianus_4975	Nannopterum_brasilianus_4975	Avihepadnavirus	NFME01001308.1	92.857	132	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_4976	Nannopterum_brasilianus_4976	Nannopterum_brasilianus_4976	Avihepadnavirus	NFME01010284.1	90.244	120	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_4977	Nannopterum_brasilianus_4977	Nannopterum_brasilianus_4977	Avihepadnavirus	NFME01007979.1	84.211	128	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_4979	Nannopterum_brasilianus_4979	Nannopterum_brasilianus_4979	Avihepadnavirus	NFME01002468.1	94.737	155	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_4980	Nannopterum_brasilianus_4980	Nannopterum_brasilianus_4980	Avihepadnavirus	NFME01010534.1	89.474	130	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_5343	Nannopterum_brasilianus_5343	Nannopterum_brasilianus_5343	Avihepadnavirus	NFME01006181.1	87.5	171	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_5344	Nannopterum_brasilianus_5344	Nannopterum_brasilianus_5344	Avihepadnavirus	NFME01003409.1	91.667	176	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_5345	Nannopterum_brasilianus_5345	Nannopterum_brasilianus_5345	Avihepadnavirus	NFME01004976.1	86.458	148	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_5347	Nannopterum_brasilianus_5347	Nannopterum_brasilianus_5347	Avihepadnavirus	NFME01013784.1	84.375	162	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_5348	Nannopterum_brasilianus_5348	Nannopterum_brasilianus_5348	Avihepadnavirus	NFME01002353.1	91.579	147	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_5349	Nannopterum_brasilianus_5349	Nannopterum_brasilianus_5349	Avihepadnavirus	NFME01015094.1	91.667	146	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_5350	Nannopterum_brasilianus_5350	Nannopterum_brasilianus_5350	Avihepadnavirus	NFME01004741.1	90.625	147	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_5351	Nannopterum_brasilianus_5351	Nannopterum_brasilianus_5351	Avihepadnavirus	NFME01002270.1	94.792	149	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_5352	Nannopterum_brasilianus_5352	Nannopterum_brasilianus_5352	Avihepadnavirus	NFME01005753.1	88.421	149	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_5353	Nannopterum_brasilianus_5353	Nannopterum_brasilianus_5353	Avihepadnavirus	NFME01021110.1	91.579	148	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_5354	Nannopterum_brasilianus_5354	Nannopterum_brasilianus_5354	Avihepadnavirus	NFME01000923.1	87.5	140	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_5357	Nannopterum_brasilianus_5357	Nannopterum_brasilianus_5357	Avihepadnavirus	NFME01001607.1	90.426	148	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_5358	Nannopterum_brasilianus_5358	Nannopterum_brasilianus_5358	Avihepadnavirus	NFME01029067.1	89.583	177	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_5359	Nannopterum_brasilianus_5359	Nannopterum_brasilianus_5359	Avihepadnavirus	NFME01002468.1	90.625	176	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_5360	Nannopterum_brasilianus_5360	Nannopterum_brasilianus_5360	Avihepadnavirus	NFME01015859.1	89.474	171	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_5361	Nannopterum_brasilianus_5361	Nannopterum_brasilianus_5361	Avihepadnavirus	NFME01020971.1	91.579	149	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_brasilianus_5362	Nannopterum_brasilianus_5362	Nannopterum_brasilianus_5362	Avihepadnavirus	NFME01005799.1	89.583	168	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_harrisi_2679	Nannopterum_harrisi_2679	Nannopterum_harrisi_2679	Avihepadnavirus	NEVG01000357.1	84.932	122	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_harrisi_2690	Nannopterum_harrisi_2690	Nannopterum_harrisi_2690	Avihepadnavirus	NEVG01000466.1	83.158	155	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_harrisi_2737	Nannopterum_harrisi_2737	Nannopterum_harrisi_2737	Avihepadnavirus	NEVG01000230.1	88.421	115	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_harrisi_331	Nannopterum_harrisi_331	Nannopterum_harrisi_331	Avihepadnavirus	NEVG01000566.1	82.432	83	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_harrisi_333	Nannopterum_harrisi_333	Nannopterum_harrisi_333	Avihepadnavirus	NEVG01000009.1	83.784	100	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_harrisi_360	Nannopterum_harrisi_360	Nannopterum_harrisi_360	Avihepadnavirus	NEVG01000343.1	89.286	104	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_harrisi_370	Nannopterum_harrisi_370	Nannopterum_harrisi_370	Avihepadnavirus	NEVG01000566.1	82.432	83	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_harrisi_374	Nannopterum_harrisi_374	Nannopterum_harrisi_374	Avihepadnavirus	NEVG01000009.1	83.784	100	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_harrisi_4001	Nannopterum_harrisi_4001	Nannopterum_harrisi_4001	Avihepadnavirus	NEVG01000776.1	65.116	154	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_harrisi_4517	Nannopterum_harrisi_4517	Nannopterum_harrisi_4517	Avihepadnavirus	NEVG01000282.1	88.542	141	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_harrisi_4518	Nannopterum_harrisi_4518	Nannopterum_harrisi_4518	Avihepadnavirus	NEVG01000158.1	88.043	140	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_harrisi_4539	Nannopterum_harrisi_4539	Nannopterum_harrisi_4539	Avihepadnavirus	NEVG01000289.1	92.632	121	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_harrisi_4542	Nannopterum_harrisi_4542	Nannopterum_harrisi_4542	Avihepadnavirus	NEVG01000148.1	85.106	118	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_harrisi_4544	Nannopterum_harrisi_4544	Nannopterum_harrisi_4544	Avihepadnavirus	NEVG01000388.1	91.667	141	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_harrisi_4546	Nannopterum_harrisi_4546	Nannopterum_harrisi_4546	Avihepadnavirus	NEVG01000054.1	89.474	138	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_harrisi_4547	Nannopterum_harrisi_4547	Nannopterum_harrisi_4547	Avihepadnavirus	NEVG01000282.1	90.526	142	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_harrisi_4550	Nannopterum_harrisi_4550	Nannopterum_harrisi_4550	Avihepadnavirus	NEVG01000109.1	76.667	129	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_harrisi_4553	Nannopterum_harrisi_4553	Nannopterum_harrisi_4553	Avihepadnavirus	NEVG01000478.1	92.063	122	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_harrisi_4556	Nannopterum_harrisi_4556	Nannopterum_harrisi_4556	Avihepadnavirus	NEVG01000107.1	91.667	137	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_harrisi_4558	Nannopterum_harrisi_4558	Nannopterum_harrisi_4558	Avihepadnavirus	NEVG01000282.1	91.667	146	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_harrisi_4561	Nannopterum_harrisi_4561	Nannopterum_harrisi_4561	Avihepadnavirus	NEVG01000179.1	90.476	120	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_harrisi_4562	Nannopterum_harrisi_4562	Nannopterum_harrisi_4562	Avihepadnavirus	NEVG01000313.1	87.5	137	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_harrisi_4566	Nannopterum_harrisi_4566	Nannopterum_harrisi_4566	Avihepadnavirus	NEVG01000137.1	89.362	126	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_harrisi_4568	Nannopterum_harrisi_4568	Nannopterum_harrisi_4568	Avihepadnavirus	NEVG01000384.1	75	116	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
alignment/AL_EHBV-avi.27-suliformes/member/fasta-digs-ehbv/Nannopterum_harrisi_4983	Nannopterum_harrisi_4983	Nannopterum_harrisi_4983	Avihepadnavirus	NEVG01000143.1	89.583	147	-	Nannopterum	Phalacrocoracidae	Pelecaniformes	Neoaves	none	Aequorlitornithes
