sequenceID	locus_name	virus_genus	full_name	locus_id	locus_numeric_id	structure	start gene	start_codon	nearest_upstream_orf	nearest_downstream_orf	family	host_group_name	core_shift	variable_region_type
ehbv-avi.39-ara	avi.39-ara	Avihepadnavirus	Endogenous avihepadnavirus 39	ehbv-avi.39-ara	39				FXN (intronic)	FXN (intronic)	Hepadnaviridae	ara	N/A	ND
ehbv-avi.41-psittaciformes	avi.41-psittaciformes	Avihepadnavirus	Endogenous avihepadnavirus 41	ehbv-avi.41-psittaciformes	41				RAD23B	PHAX/MARCHF3	Hepadnaviridae	psittaciformes	N/A	ND
ehbv-avi.42-passeriformes-con	avi.42-passeriformes	Avihepadnavirus	Endogenous avihepadnavirus 42	ehbv-avi.42-passeriformes-con	42				ABRACL/REPS1	TXLNB	Hepadnaviridae	passeriformes	N/A	ND
ehbv-avi.43-gallirallus	avi.43-gallirallus	Avihepadnavirus	Endogenous avihepadnavirus 43	ehbv-avi.43-gallirallus	43				ENSMUNG00000008889	ENSMUNG00000008889	Hepadnaviridae	gallirallus	N/A	ND
ehbv-avi.44-antrostomus	avi.44-antrostomus	Avihepadnavirus	Endogenous avihepadnavirus 44	ehbv-avi.44-antrostomus	44				KCNV1	ENSTGUG00000027711	Hepadnaviridae	antrostomus	N/A	ND
ehbv-avi.45-ara	avi.45-ara	Avihepadnavirus	Endogenous avihepadnavirus 45	ehbv-avi.45-ara	45	fragment			LNPEP	ENSACOG00000006853	Hepadnaviridae	ara	N/A	ND
ehbv-avi.46-psittaciformes	avi.46-psittaciformes	Avihepadnavirus	Endogenous avihepadnavirus 46	ehbv-avi.46-psittaciformes	46				RYR3	FMN1	Hepadnaviridae	psittaciformes	N/A	ND
ehbv-avi.48-podiceps	avi.48-podiceps	Avihepadnavirus	Endogenous avihepadnavirus 48	ehbv-avi.48-podiceps	48	fragment			NK	NK	Hepadnaviridae	podiceps	N/A	avi-4
ehbv-avi.49-leptosomus	avi.49-leptosomus	Avihepadnavirus	Endogenous avihepadnavirus 49	ehbv-avi.49-leptosomus	49	fragment			NK	NK	Hepadnaviridae	leptosomus	N/A	avi-6
ehbv-avi.50-anas_zonorhyncha	avi.50-anas_zonorhyncha	Avihepadnavirus	Endogenous avihepadnavirus 50	ehbv-avi.50-anas_zonorhyncha	50	fragment			NK	NK	Hepadnaviridae	anas	N/A	ND
ehbv-avi.51-psittaciformes-con	avi.51-psittaciformes	Avihepadnavirus	Endogenous avihepadnavirus 51	ehbv-avi.51-psittaciformes-con	51	fragment			NK	NK	Hepadnaviridae	psittaciformes	N/A	ND
ehbv-avi.52-melopsittacus	avi.52-melopsittacus	Avihepadnavirus	Endogenous avihepadnavirus 52	ehbv-avi.52-melopsittacus	52	fragment			ENSACOG00000002782	ENSACOG00000002891	Hepadnaviridae	melopsittacus	N/A	ND
