sequenceID	record_ID	organism	assigned_name	locus_name	virus_genus	locus_numeric_id	sequence_length	assigned_gene	target_datatype	target_version	target_name	probe_type	scaffold	extract_start	extract_end	sequence_length	orientation	bitscore	identity	evalue_num	evalue_exp	subject_start	subject_end	query_start	query_end	align_len	gap_openings	mismatches	host_species	host_class	host_superorder	host_order	host_family	host_genus
Aquila_chrysaetos_canadensis_27519	27519	Aquila_chrysaetos_canadensis	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2950	polyprotein	low_coverage	ncbi_100	216574_ref_Aquila_chrysaetos-1.0.2_chrUn.fa	ORF	gi|766829346|ref|NW_011950900.1|	6651302	6654251	2950	+	464	89.683	0	1	738	989	2195	2950	252	0	26	Aquila chrysaetos canadensis	Aves	Neognathae	Falconiformes	Accipitridae	Aquila
Ara_macao_27523	27523	Ara_macao	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	1525	polyprotein	low_coverage	SMACv1.1	GCA_000400695.1_SMACv1.1_genomic.fa	ORF	KE061309.1	2	1526	1525	+	186	52.675	4	92	324	564	1	705	243	5	105	Ara macao	Aves	Neognathae	Psittaciformes	Psittacidae	Ara
Ardeotis_arabs_28635	28635	Ardeotis_arabs	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	1762	polyprotein	low_coverage	REN_Aarabs_1.0	GCA_011801015.1_REN_Aarabs_1.0_genomic.fna	ORF	JAAGAY010129154.1	110554	112315	1762	-	227	82.576	8	90	770	900	1120	1515	132	1	22	Ardeotis arabs	Aves	Neognathae	Gruiformes	Otididae	Ardeotis
Ardeotis_arabs_28636	28636	Ardeotis_arabs	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	1517	polyprotein	low_coverage	REN_Aarabs_1.0	GCA_011801015.1_REN_Aarabs_1.0_genomic.fna	ORF	JAAGAY010031059.1	32	1548	1517	+	328	77.727	0	1	682	900	611	1270	220	1	48	Ardeotis arabs	Aves	Neognathae	Gruiformes	Otididae	Ardeotis
Athene_cunicularia_27530	27530	Athene_cunicularia	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2555	polyprotein	low_coverage	athCun1	GCA_003259725.1_athCun1_genomic.fna	ORF	QEEU01000002.1	22746466	22749020	2555	+	188	68.276	0	1	704	847	1737	2171	145	1	45	Athene cunicularia	Aves	Neognathae	Strigiformes	Strigidae	Athene
Balearica_regulorum_27531	27531	Balearica_regulorum	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	1947	polyprotein	low_coverage	bgi_2011-10-28	Balearica_regulorum_gibbericeps.scaf.noBacterial.fa	ORF	scaffold1498	39631	41577	1947	-	468	52.875	4	156	66	657	165	1943	626	17	228	Balearica regulorum	Aves	Neognathae	Gruiformes	Gruidae	Balearica
Bubo_blakistoni_27533	27533	Bubo_blakistoni	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2576	polyprotein	low_coverage	ver1.0	GCA_004320225.1_Bubo_blakistoni_ver1.0_genomic.fna	ORF	BJCB01005125.1	131942	134517	2576	+	291	74.611	0	1	297	489	528	1106	193	0	49	Bubo blakistoni	Aves	Neognathae	Strigiformes	Strigidae	Bubo
Buceros_rhinoceros_27534	27534	Buceros_rhinoceros	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2207	polyprotein	low_coverage	bgi_2011-10-28	Buceros_rhinoceros_silvestris.scaf.noBacterial.fa	ORF	scaffold36794	11126	13332	2207	-	344	56.41	0	1	574	907	964	1950	351	8	114	Buceros rhinoceros	Aves	Neognathae	Bucerotiformes	Bucerotidae	Buceros
Calidris_pugnax_27536	27536	Calidris_pugnax	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2812	polyprotein	low_coverage	ASM143184v1	198806_ref_ASM143184v1_chrUn.fa	ORF	gi|960494929|ref|NW_015094510.1|	22015567	22018378	2812	-	479	56.615	5	174	393	885	1066	2553	514	11	184	Calidris pugnax	Aves	Neognathae	Charadriiformes	Scolopacidae	Calidris
Calidris_pygmaea_27537	27537	Calidris_pygmaea	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2729	polyprotein	low_coverage	GCA_003697955	GCA_003697955.1_ASM369795v1_genomic.fna	ORF	QJSC01016008.1	1825236	1827964	2729	+	217	63.492	2	113	565	747	1520	2080	189	3	61	Calidris_pygmaea	Aves	Neognathae	Charadriiformes	Scolopacidae	Calidris
Cariama_cristata_27542	27542	Cariama_cristata	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2962	polyprotein	low_coverage	bgi_2011-10-28	Cariama_cristata.scaf.noBacterial.fa	ORF	scaffold329	14075	17036	2962	+	315	49.367	0	1	297	672	855	1982	395	8	162	Cariama cristata	Aves	Neognathae	Gruiformes	Cariamidae	Cariama
Cathartes_aura_27544	27544	Cathartes_aura	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2953	polyprotein	low_coverage	bgi_2011-10-28	Cathartes_aura.scaf.noBacterial.fa	ORF	scaffold19789	37367	40319	2953	-	440	90.833	0	1	739	978	2180	2899	240	0	22	Cathartes aura	Aves	Neognathae	Ciconiiformes	Cathartidae	Cathartes
Charadrius_vociferus_27546	27546	Charadrius_vociferus	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2838	polyprotein	low_coverage	bgi_2011-10-28	Charadrius_vociferus.scaf.noBacterial.fa	ORF	scaffold16	72348	75185	2838	+	751	70.524	0	1	442	989	1216	2838	553	5	146	Charadrius vociferus	Aves	Neognathae	Charadriiformes	Charadriidae	Charadrius
Chlamydotis_macqueenii_27547	27547	Chlamydotis_macqueenii	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2427	polyprotein	low_coverage	ASM69519v1	187382_ref_ASM69519v1_chrUn.fa	ORF	gi|702204593|ref|NW_010470167.1|	64613	67039	2427	-	360	50.369	0	1	305	687	412	1536	407	8	146	Chlamydotis macqueenii	Aves	Neognathae	Gruiformes	Otididae	Chlamydotis
Chlamydotis_undulata_27548	27548	Chlamydotis_undulata	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2427	polyprotein	low_coverage	bgi_2011-10-28	Chlamydotis_undulata.scaf.noBacterial.fa	ORF	scaffold36512	64613	67039	2427	-	360	50.369	0	1	305	687	412	1536	407	8	146	Chlamydotis undulata	Aves	Neognathae	Gruiformes	Otididae	Chlamydotis
Cicinnurus_regius_5247	5247	Cicinnurus_regius	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	3530	polyprotein	low_coverage	GCA_003713305.1	GCA_003713305.1_CicReg_1.0_genomic.fna	ORF	RAHN01000030.1	2487425	2490954	3530	+	358	75.309	2	178	738	980	2811	3530	243	1	57	Cicinnurus regius	Aves	Neognathae	Passeriformes	Paradisaeidae	Cicinnurus
Ciconia_boyciana_27550	27550	Ciconia_boyciana	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	1951	polyprotein	low_coverage	ver1.0	GCA_002002965.1_Ciconia_boyciana_ver1.0_genomic.fna	ORF	BDFF01094061.1	35890	37840	1951	+	441	92.14	2	145	712	940	1117	1803	229	0	18	Ciconia boyciana	Aves	Neognathae	Ciconiiformes	Ciconiidae	Ciconia
Colius_striatus_27551	27551	Colius_striatus	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2234	polyprotein	low_coverage	bgi_2011-10-28	Colius_striatus.scaf.noBacterial.fa	ORF	scaffold2903	78205	80438	2234	-	188	69.504	6	64	516	651	961	1371	141	2	34	Colius striatus	Aves	Neognathae	Coliiformes	Coliidae	Colius
Columba_livia_27552	27552	Columba_livia	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2988	polyprotein	low_coverage	bgi_2011-10-28	Columba_livia.scaf.fa	ORF	scaffold59	1041607	1044594	2988	-	602	60.884	0	1	441	989	1282	2988	588	13	172	Columba livia	Aves	Neognathae	Columbiformes	Columbidae	Columba
Corapipo_altera_27553	27553	Corapipo_altera	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2834	polyprotein	low_coverage	ASM394572v1	GCF_003945725.1_ASM394572v1_genomic.fna	ORF	NW_020884872.1	69470292	69473125	2834	-	322	43.47	1	173	385	862	1033	2472	513	11	222	Corapipo altera	Aves	Neognathae	Passeriformes	Pipridae	Corapipo
Corvus_brachyrhynchos_5253	5253	Corvus_brachyrhynchos	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2922	polyprotein	low_coverage	bgi_2011-10-28	Corvus_brachyrhynchos.scaf.noBacterial.fa	ORF	scaffold103	4301641	4304562	2922	-	214	34.291	8	60	359	862	1070	2569	522	11	303	Corvus brachyrhynchos	Aves	Neognathae	Passeriformes	Corvidae	Corvus
Corvus_cornix_cornix_5254	5254	Corvus_cornix_cornix	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2847	polyprotein	low_coverage	932674	932674_ref_Hooded_Crow_genome_chrUn.fa	ORF	gi|725624890|ref|NW_010959474.1|	2482870	2485716	2847	+	217	34.483	5	61	359	862	995	2494	522	11	302	Corvus cornix cornix	Aves	Neognathae	Passeriformes	Corvidae	Corvus
Corvus_hawaiiensis_5255	5255	Corvus_hawaiiensis	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2851	polyprotein	low_coverage	GCA_003402825.1_Coha_1.0	GCA_003402825.1_Coha_1.0_genomic.fna	ORF	QORP01000646.1	7253901	7256751	2851	-	186	48.696	8	67	637	862	1836	2498	230	3	105	Corvus hawaiiensis	Aves	Neognathae	Passeriformes	Corvidae	Corvus
Cuculus_canorus_27554	27554	Cuculus_canorus	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2998	polyprotein	low_coverage	bgi_2011-10-28	Cuculus_canorus.scaf.noBacterial.fa	ORF	scaffold15	13486158	13489155	2998	+	236	70.857	0	1	565	739	1752	2261	175	4	46	Cuculus canorus	Aves	Neognathae	Cuculiformes	Cuculidae	Cuculus
Diphyllodes_magnificus_5257	5257	Diphyllodes_magnificus	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	3541	polyprotein	low_coverage	GCA_003713285.1	GCA_003713285.1_DipMag_1.0_genomic.fna	ORF	RAHO01000055.1	2489009	2492549	3541	+	381	77.778	6	171	738	980	2813	3541	243	0	54	Diphyllodes magnificus	Aves	Neognathae	Passeriformes	Paradisaeidae	Diphyllodes
Egretta_garzetta_27558	27558	Egretta_garzetta	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2626	polyprotein	low_coverage	bgi_2011-10-28	Egretta_garzetta.scaf.noBacterial.fa	ORF	scaffold40	3941033	3943658	2626	-	507	58.523	7	168	174	692	228	1757	528	9	192	Egretta garzetta	Aves	Neognathae	Pelecaniformes	Ardeidae	Egretta
Empidonax_traillii_27559	27559	Empidonax_traillii	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2401	polyprotein	low_coverage	GCA_003031625	GCA_003031625.1_ASM303162v1_genomic.fna	ORF	PWAB01000589.1	230045	232445	2401	-	252	49.371	9	105	565	862	1171	2058	318	8	119	Empidonax traillii	Aves	Neognathae	Passeriformes	Tyrannidae	Empidonax
Eopsaltria_australis_27361	27361	Eopsaltria_australis	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2668	polyprotein	low_coverage	eyr_v1	GCA_003426825.1_eyr_v1_genomic.fna	ORF	QKXG01011186.1	477310	479977	2668	-	363	46.461	5	129	181	719	369	1916	551	11	248	Eopsaltria australis	Aves	Neognathae	Passeriformes	Petroicidae	Eopsaltria
Erythrura_gouldiae_5263	5263	Erythrura_gouldiae	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	1697	polyprotein	low_coverage	GouldianFinchv1	GCA_003676055.1_GouldianFinch_genomic.fna	ORF	QUSF01000006.1	5427095	5428791	1697	+	171	66.418	2	95	766	898	1027	1425	134	2	43	Erythrura gouldiae	Aves	Neognathae	Passeriformes	Estrildidae	Erythrura
Eupsittula_pertinax_28648	28648	Eupsittula_pertinax	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2286	polyprotein	low_coverage	ASM1131718v1	GCA_011317185.1_ASM1131718v1_genomic.fna	ORF	WUQE01005468.1	3033	5318	2286	-	223	54.651	0	1	310	564	206	952	258	5	105	Eupsittula pertinax	Aves	Neognathae	Psittaciformes	Psittacidae	Eupsittula
Eurypyga_helias_27571	27571	Eurypyga_helias	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2775	polyprotein	low_coverage	bgi_2011-10-28	Eurypyga_helias.scaf.noBacterial.fa	ORF	scaffold15072	67853	70627	2775	+	566	49.464	0	1	57	765	63	2150	746	16	290	Eurypyga helias	Aves	Neognathae	Gruiformes	Eurypygidae	Eurypyga
Falco_cherrug_27572	27572	Falco_cherrug	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2933	polyprotein	low_coverage	F_cherrug_v1.0	345164_ref_F_cherrug_v1.0_chrUn.fa	ORF	gi|537457958|ref|NW_004994945.1|	5087562	5090494	2933	+	423	41.813	0	1	145	835	417	2522	739	15	345	Falco cherrug	Aves	Neognathae	Falconiformes	Falconidae	Falco
Falco_peregrinus_27573	27573	Falco_peregrinus	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2932	polyprotein	low_coverage	bgi_2011-10-28	Falco_peregrinus.scaf.fa	ORF	scaffold17_1	2821587	2824518	2932	-	177	58.47	0	1	385	563	1190	1714	183	4	64	Falco peregrinus	Aves	Neognathae	Falconiformes	Falconidae	Falco
Ficedula_albicollis_5273	5273	Ficedula_albicollis	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	1364	polyprotein	low_coverage	FicAlb_1.4	Ficedula_albicollis.FicAlb_1.4.dna.nonchromosomal.fa	ORF	JH603207.1	3439143	3440506	1364	-	200	68.794	1	58	834	974	933	1355	141	0	44	Ficedula albicollis	Aves	Neognathae	Passeriformes	Muscicapidae	Ficedula
Fulmarus_glacialis_27372	27372	Fulmarus_glacialis	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2870	polyprotein	low_coverage	bgi_2011-10-28	Fulmarus_glacialis.scaf.noBacterial.fa	ORF	scaffold36944	87537	90406	2870	+	624	62.521	0	1	145	729	336	2075	587	5	211	Fulmarus glacialis	Aves	Neognathae	Procellariiformes	Procellariidae	Fulmarus
Gallirallus_okinawae_5276	5276	Gallirallus_okinawae	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	1642	polyprotein	low_coverage	Gallirallus_okinawae_ver1.0	GCA_002003005.1_Gallirallus_okinawae_ver1.0_genomic.fna	ORF	BDFH01068897.1	274	1915	1642	-	107	45.732	1	77	490	646	1175	1642	164	3	74	Gallirallus okinawae	Aves	Neognathae	Gruiformes	Rallidae	Gallirallus
Gavia_stellata_27579	27579	Gavia_stellata	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2835	polyprotein	low_coverage	bgi_2011-10-28	Gavia_stellata.scaf.noBacterial.fa	ORF	scaffold17967	65743	68577	2835	-	452	84.556	2	152	682	940	1914	2690	259	0	40	Gavia stellata	Aves	Neognathae	gavia	Gaviidae	Gavia
Geospiza_fortis_5288	5288	Geospiza_fortis	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	1639	polyprotein	low_coverage	goldenpath_geoFor1	geoFor1.fa_2.fa	ORF	JH740002	2041096	2042734	1639	-	310	56.557	1	97	634	989	578	1639	366	5	137	Geospiza fortis	Aves	Neognathae	Passeriformes	Thraupidae	Geospiza
Grus_japonensis_27583	27583	Grus_japonensis	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2952	polyprotein	low_coverage	ver1.0	GCA_002002985.1_Grus_japonensis_ver1.0_genomic.fna	ORF	BDFG01003452.1	12615	15566	2952	+	388	58.5	0	1	308	689	905	2056	400	9	132	Grus japonensis	Aves	Neognathae	Gruiformes	Gruidae	Grus
Grus_monacha_27288	27288	Grus_monacha	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2949	polyprotein	low_coverage	Gmonacha_1.0	GCA_012487855.1_Gmonacha_1.0_genomic.fna	ORF	BJET01002884.1	50307	53255	2949	-	374	68.166	0	1	708	989	2110	2949	289	4	76	Grus monacha	Aves	Neognathae	Gruiformes	Gruidae	Grus
Guaruba_guarouba_28674	28674	Guaruba_guarouba	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2289	polyprotein	low_coverage	ASM1180009v1	GCA_011800095.1_ASM1180009v1_genomic.fna	ORF	JAABOC010026742.1	55	2343	2289	+	222	54.651	0	1	310	564	206	952	258	5	105	Guaruba guarouba	Aves	Neognathae	Psittaciformes	Psittacidae	Guaruba
Haliaeetus_albicilla_27594	27594	Haliaeetus_albicilla	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2949	polyprotein	low_coverage	bgi_2012-3-16	Haliaeetus_albicilla.scaf.noBacterial.fa	ORF	scaffold23856	22111	25059	2949	+	630	58.413	0	1	385	978	1135	2916	630	12	190	Haliaeetus albicilla	Aves	Neognathae	Falconiformes	Accipitridae	Haliaeetus
Haliaeetus_leucocephalus_27596	27596	Haliaeetus_leucocephalus	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	3139	polyprotein	low_coverage	bgi_2012-03-16	Haliaeetus_leucocephalus.fa	ORF	Scaffold2403	139494	142632	3139	-	529	76.923	3	174	631	978	2063	3106	351	2	75	Haliaeetus leucocephalus	Aves	Neognathae	Falconiformes	Accipitridae	Haliaeetus
Hemignathus_virens_27597	27597	Hemignathus_virens	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	1673	polyprotein	low_coverage	ASM328649v1	GCA_003286495.1_ASM328649v1_genomic.fna	ORF	LTAT01000001.1	50758819	50760491	1673	+	245	63.547	5	103	787	989	1095	1673	203	2	64	Hemignathus virens	Aves	Neognathae	Passeriformes	Fringillidae	Hemignathus
Himantopus_himantopus_27601	27601	Himantopus_himantopus	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2926	polyprotein	low_coverage	Hhiman_2.0	GCA_003993805.1_UO_Hhiman_2.0_genomic.fna	ORF	RSEF01000001.1	200718732	200721657	2926	-	241	72.487	0	1	198	386	563	1126	189	1	51	Himantopus himantopus	Aves	Neognathae	Charadriiformes	Recurvirostridae	Himantopus
Hirundo_rustica_27602	27602	Hirundo_rustica	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	1622	polyprotein	low_coverage	GCA_003692655.1	GCA_003692655.1_Chelidonia_genomic.fna	ORF	QRBI01000120.1	68803929	68805550	1622	-	219	73.649	2	117	842	989	1179	1622	148	0	39	Hirundo rustica	Aves	Neognathae	Passeriformes	Hirundinidae	Hirundo
Junco_hyemalis_5308	5308	Junco_hyemalis	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	1638	polyprotein	low_coverage	ASM382977v1	GCA_003829775.1_ASM382977v1_genomic.fna	ORF	QZWM01000963.1	47394723	47396360	1638	+	196	67.568	2	69	842	989	1213	1638	148	2	42	Junco hyemalis	Aves	Neognathae	Passeriformes	Passerellidae	Junco
Lepidothrix_coronata_5309	5309	Lepidothrix_coronata	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2887	polyprotein	low_coverage	1	GCA_001604755.1_Lepidothrix_coronata-1.0_genomic.fa	ORF	KV388162.1	2223998	2226884	2887	+	278	48.248	0	1	515	862	1485	2525	371	11	145	Lepidothrix coronata	Aves	Neognathae	Passeriformes	Pipridae	Lepidothrix
Leptosomus_discolor_27605	27605	Leptosomus_discolor	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2962	polyprotein	low_coverage	bgi_2011-10-28	Leptosomus_discolor.scaf.noBacterial.fa	ORF	scaffold6175	11470	14431	2962	-	514	76.786	0	1	441	772	1296	2297	336	3	72	Leptosomus discolor	Aves	Neognathae	Coraciiformes	Leptosomidae	Leptosomus
Limosa_lapponica_baueri_27606	27606	Limosa_lapponica_baueri	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2144	polyprotein	low_coverage	Godwit_v1	GCA_002844005.1_Godwit_v1_genomic.fna	ORF	KZ508325.1	21307	23450	2144	-	347	51.318	3	165	56	535	1	1440	493	12	214	Limosa lapponica baueri	Aves	Neognathae	Charadriiformes	Scolopacidae	Limosa
Lonchura_striata_domestica_5317	5317	Lonchura_striata_domestica	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	1653	polyprotein	low_coverage	LonStrDom1	GCF_002197715.1_LonStrDom1_genomic.fna	ORF	NW_018657052.1	2885154	2886806	1653	-	180	59.873	8	51	833	989	1186	1653	157	1	62	Lonchura striata domestica	Aves	Neognathae	Passeriformes	Estrildidae	Lonchura
Manacus_vitellinus_27611	27611	Manacus_vitellinus	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2864	polyprotein	low_coverage	28/10/2011	Manacus_vitellinus.scaf.noBacterial.fa	ORF	scaffold21	245370	248233	2864	+	159	59.877	2	147	225	386	653	1117	162	3	58	Manacus vitellinus	Aves	Neognathae	Passeriformes	Pipridae	Manacus
Melopsittacus_undulatus_5322	5322	Melopsittacus_undulatus	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	3170	polyprotein	low_coverage	goldenpath_melUnd1	melUnd1.fa_1.fa	ORF	JH556585	216993	220162	3170	+	174	54.315	1	66	442	631	982	1554	197	6	77	Melopsittacus undulatus	Aves	Neognathae	Psittaciformes	Psittaculidae	Melopsittacus
Merops_nubicus_27620	27620	Merops_nubicus	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2783	polyprotein	low_coverage	bgi_2011-10-28	Merops_nubicus.scaf.noBacterial.fa	ORF	scaffold9374	101938	104720	2783	-	422	62.892	0	1	442	850	1160	2368	415	8	136	Merops nubicus	Aves	Neognathae	Coraciiformes	Meropidae	Merops
Mesitornis_unicolor_27621	27621	Mesitornis_unicolor	ehbv-avi.1-neoaves-con	avi.1-neoaves	Avihepadnavirus	1	2646	polyprotein	low_coverage	bgi_2011-10-28	Mesitornis_unicolor.scaf.noBacterial.fa	ORF	scaffold28184	12472	15117	2646	+	493	55.664	0	1	436	943	1162	2625	512	7	199	Mesitornis unicolor	Aves	Neognathae	Gruiformes	Mesitornithidae	Mesitornis
