sequenceID	virus_name	virus_full_name	virus_family	virus_genus	clade	host_sci_name	host_common_name
TMDV	TMDV	Tetra metahepadnavirus	Hepadnaviridae	Metahepadnavirus		Astyanax mexicanus	Mexican tetra
IMDV	IMDV	Icefish metahepadnavirus	Hepadnaviridae	Metahepadnavirus		Chionodraco hamatus	Crocodile icefish
KNDV-Lg	KNDV-Lg	Bluefin killifish Nakednavirus	Hepadnaviridae	Nakednavirus	RDNV-type	Lucania goodei	Bluefin killifish
WMNDV	WMNDV	Western mosquitofish Nakednavirus	Hepadnaviridae	Nakednavirus	RDNV-type	Gambusia affinis	Western mosquitofish
ANDV	ANDV	Astatotilapia Nakednavirus	Hepadnaviridae	Nakednavirus	RDNV-type	Astatotilapia sp	Astatotilapia
KNDV-Lp-1	KNDV-Lp-1	Killifish Nakednavirus Lp 1	Hepadnaviridae	Nakednavirus	RDNV-type	Lucania parva	Rainwater killifish
EENDV	EENDV	European eel Nakednavirus	Hepadnaviridae	Nakednavirus	RDNV-type	Anguilla anguilla	European eel 
RNDV	RNDV	Tiger rockfish Nakednavirus	Hepadnaviridae	Nakednavirus	RDNV-type	Sebastes nigrocinctus	Tiger rockfish
MH158727	ACNDV	African cichlid hepadnavirus	Hepadnaviridae	Nakednavirus	RDNV-type	Ophthalmotilapia ventralis	African cichild
BWNDV-1	BWNDV-1	Baby whale Nakednavirus	Hepadnaviridae	Nakednavirus	SSDNV-type	Brienomyrus brachyistius	Baby whale
BWNDV-2	BWNDV-2	Baby whale Nakednavirus	Hepadnaviridae	Nakednavirus	SSDNV-type	Brienomyrus brachyistius	Baby whale
SSNDV	SSNDV	Sockeye salmon Nakednavirus	Hepadnaviridae	Nakednavirus	SSDNV-type	Oncorhynchus nerka	Sockeye salmon
YDNDV	YDNDV	Yellow drum Nakednavirus	Hepadnaviridae	Nakednavirus	SSDNV-type	Nibea albiflora	Yellow drum
SNDV	SNDV	Stickleback Nakednavirus	Hepadnaviridae	Nakednavirus	SSDNV-type	Gasterosteus aculeatus	Three-spined stickleback
KNDV-Lp-2	KNDV-Lp-2	Killifish Nakednavirus Lp 2	Hepadnaviridae	Nakednavirus	SSDNV-type	Lucania parva	Rainwater killifish
NC_003977	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
NC_028129	WMHBV	Woolly monkey hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Lagothrix lagothricha 	Woolly monkey
NC_001484	GSHV	Ground squirrel hepatitis virus	Hepadnaviridae	Orthohepadnavirus		Spermophilus beecheyi	California ground squirrel
NC_024444	HsbHBV	Horseshoe bat hepatitis B virus	Hepadnaviridae	Orthohepadnavirus		Rhinolophus alcyone	Horseshoe bat
NC_020881	LfbHBV	Long-fingered bat hepatitis B virus	Hepadnaviridae	Orthohepadnavirus		Miniopterus fuliginosus	Long-fingered bat
NC_024443	RlbHBV	Roundleaf bat hepatitis B virus	Hepadnaviridae	Orthohepadnavirus		Hipposideros cf. ruber	Roundleaf bat
NC_024445	TBHBV	Tent-making bat hepatitis B virus	Hepadnaviridae	Orthohepadnavirus		Hipposideros cf. ruber	Tent-making bat
NC_004107	WhBv	Woodchuck hepatitis virus	Hepadnaviridae	Orthohepadnavirus		Marmota monax	Woodchuck
MH307930	DCHBV	Domestic cat hepadnavirus	Hepadnaviridae	Orthohepadnavirus		Felis catus	Domestic cat
MH484442	ClHBV	Shrew hepatitis B virus	Hepadnaviridae	Orthohepadnavirus		Crocidura lasiura	Ussuri white-toothed shrew
MK620908	TaiHBV	Tai Forest hepadnavirus	Hepadnaviridae	Orthohepadnavirus		Philantomba maxwellii	Maxwell's duiker
U29144	ASHV	Arctic ground squirrel hepatitis B virus 	Hepadnaviridae	Orthohepadnavirus		Spermophilus parryii	Arctic ground squirrel
CSKV	CSKV	Coho salmon parahepadnavirus	Hepadnaviridae	Parahepadnavirus		Oncorhynchus kisutch	Coho salmon
NC_027922	wsHBV	White sucker hepadnavirus	Hepadnaviridae	Parahepadnavirus		Catostomus commersonii	White sucker
MH716821	AsHBV	Australasian snapper hepadnavirus	Hepadnaviridae	Parahepadnavirus		Pagrus auratus	Australasian snapper
AB056513	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
AB073835	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
AB222711	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
AB287314	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
AB486012	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
AB554015	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
AB562463	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
AF046996	HBV	Woolly monkey hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
AM184126	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
AP011085	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
AP011098	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
AP011099	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
AP011107	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
D23679	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
DQ089781	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
DQ089802	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
DQ899143	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
EU594385	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
EU670263	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
FJ023669	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
FJ356715	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
FJ692507	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
FJ692533	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
FJ692557	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
FJ692601	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
FJ904435	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
GQ161817	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
GQ205389	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
GQ331046	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
GQ377617	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
GU815637	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
HM585194	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
JQ801514	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
KC774182	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
KC774298	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
KC875277	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
KF873526	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
KJ173333	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
KJ843175	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
KM606737	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
KP168423	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
KY703886	HBV	Capuchin monkey hepatitis B virus isolate M12	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
MF925358	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
MH051986	HBV	Hepatitis B virus	Hepadnaviridae	Orthohepadnavirus	Primate	Homo sapiens	Human
