taxon	sequenceID	name	genus	nearest_upstream_orf	nearest_downstream_orf
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/MH716821	MH716821	AsHBV	Parahepadnavirus	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/MH716822	MH716822	EsgHBV	Metahepadnavirus	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/MK620908	MK620908	TaiHBV	Orthohepadnavirus	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_001344	NC_001344	DHBV	Avihepadnavirus	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_001484	NC_001484	GSHV	Orthohepadnavirus	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_001486	NC_001486	HHBV	Avihepadnavirus	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_003977	NC_003977	HBV	Orthohepadnavirus	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_004107	NC_004107	WhBv	Orthohepadnavirus	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_005888	NC_005888	RGHBV	Avihepadnavirus	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_005890	NC_005890	SHBV	Avihepadnavirus	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_005950	NC_005950	SGHBV	Avihepadnavirus	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_016561	NC_016561	PaHBV	Avihepadnavirus	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_020881	NC_020881	LfbHBV	Orthohepadnavirus	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_024443	NC_024443	RlbHBV	Orthohepadnavirus	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_024444	NC_024444	HsbHBV	Orthohepadnavirus	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_024445	NC_024445	TBHBV	Orthohepadnavirus	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_027922	NC_027922	wsHBV	Parahepadnavirus	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_028129	NC_028129	WMHBV	Orthohepadnavirus	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_030445	NC_030445	bgHBV	Metahepadnavirus	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_030446	NC_030446	tfHBV	Herpetohepadnavirus	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/NC_035210	NC_035210	THBV	Avihepadnavirus	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/fasta-refseqs/SkHBV	SkHBV	SkHBV	Herpetohepadnavirus	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/fasta-refseqs/SLHBV-1	SLHBV-1	SLHBV-1	Herpetohepadnavirus	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/fasta-refseqs/TMDV	TMDV	TMDV	Metahepadnavirus	-	-
alignment/AL_TREE_Hepadnaviridae_EVE/member/ncbi-refseqs/U29144	U29144	ASHV	Orthohepadnavirus	-	-
