taxon	sequenceID	name	genus	clade	isolate	host_sci_name	host_common_name	sample_date	country
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/NC_005950	NC_005950	SGHBV	Avihepadnavirus	-	SGHBV1-13	Anser caerulescens	-	-	-
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/NC_016561	NC_016561	PaHBV	Avihepadnavirus	-	PL	Psittacula krameri	-	-	Poland
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/NC_020881	NC_020881	LfbHBV	Orthohepadnavirus	-	776	Miniopterus fuliginosus	-	-	Myanmar
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/NC_024443	NC_024443	RlbHBV	Orthohepadnavirus	-	RBHBV/GB09-256/Hip_rub/GAB/2009	Hipposideros cf. ruber	-	-	Gabon
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/NC_024444	NC_024444	HsbHBV	Orthohepadnavirus	-	HBHBV/GB09-403/Rhi_alc/GAB/2009	Rhinolophus alcyone	-	-	Gabon
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/NC_024445	NC_024445	TBHBV	Orthohepadnavirus	-	TBHBV/Pan372/Uro_bil/PAN/2010	Uroderma bilobatum	-	-	Panama
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/NC_027922	NC_027922	wsHBV	Parahepadnavirus	-	RR173	Catostomus commersonii	-	-	USA
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/NC_028129	NC_028129	WMHBV	Orthohepadnavirus	Primate	-	Lagothrix lagothricha 	-	-	-
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/NC_030445	NC_030445	bgHBV	Metahepadnavirus	-	-	Lepomis macrochirus	-	-	USA
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/NC_030446	NC_030446	tfHBV	Herpetohepadnavirus	-	243398	Nanorana parkeri	-	-	China
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/NC_035210	NC_035210	THBV	Avihepadnavirus	-	160050	Eudromia elegans	-	-	Germany
alignment/AL_TREE_Hepadnaviridae/member/fasta-refseqs/SkHBV	SkHBV	SkHBV	Herpetohepadnavirus	-	-	Saproscincus basiliscus	-	-	-
alignment/AL_TREE_Hepadnaviridae/member/fasta-refseqs/SLHBV-1	SLHBV-1	SLHBV-1	Herpetohepadnavirus	-	-	Sceloporus adleri	-	-	-
alignment/AL_TREE_Hepadnaviridae/member/fasta-refseqs/TMDV	TMDV	TMDV	Metahepadnavirus	-	-	Astyanax mexicanus	-	-	-
alignment/AL_TREE_Hepadnaviridae/member/ncbi-refseqs/U29144	U29144	ASHV	Orthohepadnavirus	-	-	Spermophilus parryii	-	-	-
