id	full_name	locus_id	locus_numeric_id	num_seqs	included_msa	nearest_upstream_orf	nearest_downstream_orf	minimum_age_ortho	family	genus	clade	host_group_taxlevel	host_group_name	host_sci_name	host_common_name
ehbv-avi.11-tyto	Endogenous avihepadnavirus 11	ehbv-avi.11-tyto	11		yes				Hepadnaviridae	Avihepadnavirus				Anser	null
ehbv-avi.12-anatidae	Endogenous avihepadnavirus 12	ehbv-avi.12-anatidae	12		yes				Hepadnaviridae	Avihepadnavirus				Paleognathae	null
ehbv-avi.13-paleognathea	Endogenous avihepadnavirus 13	ehbv-avi.13-paleognathea	13		yes				Hepadnaviridae	Avihepadnavirus				Gaviiformes	null
ehbv-avi.14-gaviiformes	Endogenous avihepadnavirus 14	ehbv-avi.14-gaviiformes	14		yes				Hepadnaviridae	Avihepadnavirus				Gaviiformes	null
ehbv-avi.15-gaviiformes	Endogenous avihepadnavirus 15	ehbv-avi.15-gaviiformes	15		yes				Hepadnaviridae	Avihepadnavirus				Accipiter	null
ehbv-avi.16-accipter	Endogenous avihepadnavirus 16	ehbv-avi.16-accipter	16		yes	TIMM21/FBXO15	NETO1/CBLN2/lncRNA		Hepadnaviridae	Avihepadnavirus				Passeriformes	null
ehbv-avi.17-Passeriformes	Endogenous avihepadnavirus 17	ehbv-avi.17-Passeriformes	17		yes				Hepadnaviridae	Avihepadnavirus				Calypte	null
ehbv-avi.18-Calypte	Endogenous avihepadnavirus 18	ehbv-avi.18-Calypte	18		no				Hepadnaviridae	Avihepadnavirus				Buceros	null
ehbv-avi.19-Buceros	Endogenous avihepadnavirus 19	ehbv-avi.19-Buceros	19		yes				Hepadnaviridae	Avihepadnavirus				Cariama	null
ehbv-avi.20-Cariama	Endogenous avihepadnavirus 20	ehbv-avi.20-Cariama	20		no				Hepadnaviridae	Avihepadnavirus					
ehbv-avi.21-Paleognathea	Endogenous avihepadnavirus 21	ehbv-avi.21-Paleognathea	21		yes				Hepadnaviridae	Avihepadnavirus					
ehbv-avi.22-Tyto	Endogenous avihepadnavirus 22	ehbv-avi.22-Tyto	22		no				Hepadnaviridae	Avihepadnavirus					
ehbv-avi.23-Nothoprocta	Endogenous avihepadnavirus 23	ehbv-avi.23-Nothoprocta	23		no				Hepadnaviridae	Avihepadnavirus					
ehbv-avi.24-Apaloderma	Endogenous avihepadnavirus 24	ehbv-avi.24-Apaloderma	24		no				Hepadnaviridae	Avihepadnavirus					
ehbv-avi.25-Sphenisciformes	Endogenous avihepadnavirus 25	ehbv-avi.25-Sphenisciformes	25		no				Hepadnaviridae	Avihepadnavirus					
ehbv-avi.26-Psittaciformes	Endogenous avihepadnavirus 26	ehbv-avi.26-Psittaciformes	26		no				Hepadnaviridae	Avihepadnavirus					
ehbv-avi.27-Suliformes	Endogenous avihepadnavirus 27	ehbv-avi.27-Suliformes	27		no				Hepadnaviridae	Avihepadnavirus					
ehbv-avi.28-Amazona	Endogenous avihepadnavirus 28	ehbv-avi.28-Amazona	28		no				Hepadnaviridae	Avihepadnavirus					
ehbv-avi.29-Psittacula	Endogenous avihepadnavirus 29	ehbv-avi.29-Psittacula	29		no				Hepadnaviridae	Avihepadnavirus					
ehbv-avi.30-Anser	Endogenous avihepadnavirus 30	ehbv-avi.30-Anser	30		no				Hepadnaviridae	Avihepadnavirus					
ehbv-avi.31-Passeriformes	Endogenous avihepadnavirus 31	ehbv-avi.31-Passeriformes	31		no				Hepadnaviridae	Avihepadnavirus					
ehbv-avi.32-Tinamiformes	Endogenous avihepadnavirus 32	ehbv-avi.32-Tinamiformes	32		no				Hepadnaviridae	Avihepadnavirus					
ehbv-avi.33-Psittaciformes	Endogenous avihepadnavirus 33	ehbv-avi.33-Psittaciformes	33		no				Hepadnaviridae	Avihepadnavirus					
ehbv-avi.34-Gallirallus	Endogenous avihepadnavirus 34	ehbv-avi.34-Gallirallus	34		no				Hepadnaviridae	Avihepadnavirus					
ehbv-avi.35-Chaetura	Endogenous avihepadnavirus 35	ehbv-avi.35-Chaetura	35		no				Hepadnaviridae	Avihepadnavirus					
